ABUS
ACAD
ACHN
ACOR
ACRS
ADAP
ADMS
ADRO
AERI
AGIO
AIMT
AKAO
AKBA
AKCA
ALDR
ALKS
ALNY
ALXN
AMAG
AMGN
AMPH
AMRN
ANAB
ANIP
ARDX
ARNA
ARRY
ARWR
ASND
ATNX
ATRA
AUPH
AVDL
AVXS
AXON
BCRX
BGNE
BIIB
BIVV
BLCM
BLKFDS
BLUE
BMRN
BOLD
BPMC
CALA
CARA
CASC
CBPO
CCXI
CELG
CERS
CHRS
CLDX
CLLS
CLVS
CLXT
CMRX
CNCE
COLL
CORI
CRBP
CRIS
CRSP
CRVS
CTMX
CYTK
DBVT
DEPO
DERM
DOVA
ECYT
EDIT
EGRX
ENDP
ENTA
EPZM
ESPR
EXEL
FGEN
FLXN
FMI
FOLD
FOMX
FPRX
GBT
GERN
GHDX
GILD
GLPG
GLYC
GRFS
GTHX
GWPH
HALO
HZNP
ICPT
ILMN
IMGN
IMMU
INCR
INCY
INO
INSM
INSY
INVA
IONS
IOVA
IRWD
ITCI
JAZZ
JNCE
JUNO
KALA
KPTI
KURA
LGND
LMNX
LOXO
LXRX
MCRB
MDCO
MEDP
MGNX
MNKD
MNTA
MRNS
MRSN
MYGN
MYL
MYOK
NBIX
NBRV
NEOS
NERV
NH
NK
NKTR
NLNK
NSTG
NTLA
NVAX
NVCR
OMER
ONCE
OPK
PACB
PBYI
PCRX
PDLI
PETQ
PETX
PGNX
PRAH
PRTA
PRTK
PTCT
PTLA
QGEN
QURE
RARE
RARX
RDUS
REGN
RETA
RGEN
RGNX
RIGL
RTRX
RVNC
SAGE
SBBP
SCMP
SGEN
SGMO
SGYP
SHPG
SNDX
SNNA
SPPI
SRPT
SUPN
SVRA
TBPH
TECH
TLGT
TOCA
TSRO
TTPH
TXMD
USD
UTHR
VCYT
VNDA
VRTX
VTL
VYGR
XLRN
XNCR
ZGNX
